Region,normalised_entropy
31077,1.441582973344321
31078,1.1748413551796533
31079,0.4710595843990909
31080,0.8815737000397039
31081,0.7753541061990541
31082,1.3818193449206595
31083,1.8001638200172962
31084,-0.043384614685606546
31085,-0.32677449687712445
31086,0.1375751190555648
31087,-0.23640702886450848
31088,-0.7904147902106526
31089,-0.12703021144404641
31090,-0.13836124967623303
31091,-0.6428883378044058
31092,0.8518380995159385
31093,-0.8366269484095203
31094,0.010653767635495665
31095,-0.4588164839136766
31096,-1.1743802391004738
31097,-1.3373711513536257
31098,-1.0750676087121445
31099,-2.660994320376664
31100,-0.6803343945176187
31101,0.3806923719176043
31102,0.05687008007400861
31103,1.3818784750482005
31104,1.1296628359997813
31105,-0.04472481888768599
31106,-1.3019889385125487
