Region,medDegree
92463,2.5196557423721195
92464,2.5307026879509076
92465,1.6834110132465787
92466,-0.7906115748309133
92467,-0.1045034088282529
92468,-0.8515996421760134
92469,-1.1555530467831838
92470,0.47455522253407467
92471,-0.6576106297699591
92472,0.9160948091792914
92473,0.8692884469824269
92474,0.20043539864586354
92475,0.6682509172381811
92476,0.5957754756345414
92477,-0.14972750264029794
92478,2.0572182634949465
92479,-0.35027516179913726
92480,-1.4266550550492374
92481,1.2058770313978646
92482,-1.1764673493642324
92483,0.44719426437125054
92484,-0.9228587664788236
92485,-0.5697198530241823
92486,-1.1883112606798343
92487,1.5339182630124268
92488,2.803577740458786
92489,0.08095551101179231
92490,-0.020288104366777613
92491,0.2945303898981087
92492,-0.8448935198377344
92493,-0.8384472540171705
92494,0.5091599582782254
92495,-0.9233075348507168
92496,-0.4692758866355612
92497,-0.3794528755089211
92498,-0.18103327321100837
92499,-0.9835952228811874
92500,-0.4317424415238481
92501,-1.1960723567941818
92502,-0.4214082186027267
92503,-1.5888296246034925
92504,-0.7879171027553624
92505,0.5564172218100485
92506,-0.17301427501606864
92507,-0.6078952087518606
92508,-0.01801750866066644
92509,-0.05789547416335397
92510,0.18767111853427296
92511,0.932837415740887
92512,-0.7053905613231342
92513,0.5793851222138238
92514,-0.4679203374781467
92515,0.4458586448559067
92516,0.1925085573727521
92517,0.3783442493972718
92518,-0.19695841708749934
92519,0.2921469960008559
92520,1.7633359097443815
92521,0.6428322486184878
92522,-0.1559883462618312
92523,0.14157683513915442
92524,-0.37977985129645797
92525,0.20015107350029537
92526,-1.4973410340420246
92527,0.3076028974695019
92528,-1.1981163098045609
92529,-0.8754723719870218
92530,-1.1439721749642986
92531,-0.256919451171972
92532,-2.00296617579435
92533,-1.1184705492176832
92534,-1.2289579264818473
92535,0.1320462173884643
92536,-1.2517156683550663
92537,-1.403973878678586
92538,-0.6165306865864122
92539,2.242522113835132
92540,1.0746111153758888
92541,1.080531675166473
92542,1.774791679745136
92543,0.3244179949813605
92544,0.4595505106731386
92545,-0.1306544576854457
92546,-0.8538256140977949
92547,0.9980083475481035
92548,0.12498042771626977
92549,-0.3521775698784091
92550,-0.40198002609545563
92551,0.8385448693998813
92552,0.6491488129404277
92553,-0.027722538906939206
92554,1.1148501102023105
92555,-1.2914602202779377
