Region,Activity
31077,4.08234785522482
31078,2.383551410861442
31079,0.8396964575007286
31080,-0.8126123203961177
31081,-0.4907412453228039
31082,0.41491585043524404
31083,-0.36147895810438774
31084,-0.5780516521244606
31085,-0.6504084688180543
31086,-0.3557825596412482
31087,0.15195800553181407
31088,-0.5762693278194853
31089,-0.38805910355001
31090,-0.30065756453561393
31091,-0.8205561032815176
31092,-0.6745095893432196
31093,-0.35739434934498987
31094,-0.338782989923933
31095,0.04991718881152646
31096,0.5370497439606189
31097,-0.19094892916550085
31098,-0.4367819494705065
31099,-0.5854614418788444
31100,-0.3403877244716453
31101,0.717246353682287
31102,0.6301468762413974
31103,-0.15783175912252992
31104,-0.2716482845058063
31105,-0.9339628489134901
31106,-0.1845025725157136
