Region,gResidual
92463,-1.169057100234179
92464,-1.169057100234179
92465,-1.169057100234179
92466,-0.5194303687793472
92467,-0.5320825953115492
92468,-0.5805885045314432
92469,-0.3180964946718236
92470,-1.169057100234179
92471,-0.1609892551015319
92472,-1.169057100234179
92473,-0.18090142474061693
92474,-0.6320339683070829
92475,-0.4702225630791221
92476,-0.3074836865069802
92477,-0.5707836539716644
92478,-0.7430604001840538
92479,-0.294878803589143
92480,0.10067226455424322
92481,0.06748563022264019
92482,-0.2734592643115502
92483,-0.3311643871455741
92484,0.7634729245987307
92485,0.8192889317980566
92486,-0.04923012634544539
92487,-1.169057100234179
92488,-0.6379996400428486
92489,-0.6367774468578316
92490,-0.4851462707967569
92491,-0.7375443699597084
92492,-0.507205057800348
92493,0.6670144395948594
92494,-0.506851436616031
92495,1.1663576366025317
92496,0.3395613411328568
92497,-0.5419494626375364
92498,0.025659598232072766
92499,-0.5184375860887882
92500,-0.2574410621360021
92501,1.3277982091781642
92502,0.8549889821907818
92503,0.2520205860378582
92504,-0.03372627103110458
92505,0.10431910395235719
92506,-0.31320091087979585
92507,1.6143047630459137
92508,0.10147843580006266
92509,0.7871946244696469
92510,0.5075281349544595
92511,0.4049897632662928
92512,-0.4479031852470541
92513,-0.5815581873944488
92514,0.1278368900322542
92515,1.9787612277883366
92516,3.3160218112344877
92517,0.7463728843123604
92518,-0.07733797874053987
92519,-0.4275817666885509
92520,-1.169057100234179
92521,-0.16391783630774487
92522,0.26366480075018234
92523,0.08185040552091385
92524,0.49350405232103234
92525,0.10765978395968633
92526,2.4193827005852393
92527,-0.4668776800379344
92528,2.072034372785414
92529,2.2282968838951147
92530,2.4638747639525778
92531,0.4218815291195643
92532,0.9656009379597705
92533,1.5157342277105224
92534,1.749869712328556
92535,1.6942047147208659
92536,1.0235823589146846
92537,2.436403189804353
92538,-0.5291969628356923
92539,-1.169057100234179
92540,-1.169057100234179
92541,-1.169057100234179
92542,-1.169057100234179
92543,-1.169057100234179
92544,-0.35550997618799446
92545,-0.34017454708952344
92546,-0.36696180569620457
92547,-1.169057100234179
92548,-0.4837384604792956
92549,-0.21652098989854354
92550,-0.5893966534358113
92551,-1.169057100234179
92552,-0.8194632644726977
92553,-0.7741127090219678
92554,-1.169057100234179
92555,-0.6938790988570828
