Region,normalised_entropy
92463,0.4596553695078135
92464,0.35128498646259565
92465,0.0653562266218722
92466,2.573027561529734
92467,1.0870704611557955
92468,-0.9681092325139707
92469,1.700739991331897
92470,-0.1308826827695735
92471,1.2466085974204968
92472,0.381289593196167
92473,1.6890756820689166
92474,0.11221862286592461
92475,1.207725681194102
92476,0.22601438429885876
92477,-0.8001187866003461
92478,3.217458378919458
92479,-0.24345426930511577
92480,-0.9905677251435034
92481,1.7896074192308071
92482,-1.0813468774487287
92483,1.5488492955460063
92484,-0.5258005523685984
92485,-0.06261083265074217
92486,-0.4555322985425111
92487,-0.6700944652503114
92488,4.24619262787205
92489,-0.8268423565836799
92490,-0.32453892362999326
92491,-0.14995688884109862
92492,-0.9495563836074755
92493,0.32627667843527436
92494,-0.5455689101726631
92495,-0.20133777060564473
92496,-0.022507775744936846
92497,-0.8925825946875258
92498,0.5832817564628308
92499,-0.956592861672296
92500,-0.04191279453932888
92501,-0.0876489949261162
92502,-0.22622767078107633
92503,-1.112409154142992
92504,-0.2908970974159448
92505,1.6938815466356743
92506,-0.08031491734322235
92507,-0.641020255604928
92508,0.058943347299198576
92509,-0.6047505525419027
92510,-0.7067052399756958
92511,1.9877750095418594
92512,-1.2893112370878619
92513,-0.2115702217972273
92514,-0.36269437368230584
92515,-0.28202898609231686
92516,-0.1302365359137764
92517,-0.3432913196121356
92518,-0.7095677062736505
92519,-1.040196776033269
92520,-0.37479922624931145
92521,-0.6104318119901418
92522,-0.3852131582407411
92523,-1.0547252427998317
92524,-0.7025953341558616
92525,-0.1896045072866841
92526,-0.6204994508718777
92527,-0.7464346850057952
92528,-0.12743863073830497
92529,-0.6036991191966505
92530,-1.018464129290101
92531,-0.28429856655246494
92532,-1.8464947034258352
92533,-1.7058341344741001
92534,-0.600236567022888
92535,-0.541627542566771
92536,-0.009215700001645979
92537,-0.22281695678509908
92538,1.3484825218294292
92539,-0.1892301700572424
92540,0.016743279336850627
92541,1.7123947674084492
92542,-0.430520596805547
92543,0.22286781466828878
92544,0.5910398942417384
92545,0.13659836808585998
92546,0.4278120460967907
92547,0.44892631128771815
92548,0.3922320597009681
92549,-0.1730492041725446
92550,0.9837343173377111
92551,0.16963719260370522
92552,0.17800846905852152
92553,-0.594906325964745
92554,-0.6761370616402435
92555,-0.5137514120563772
