Region,avg_introversion
92463,-1.7352400931177103
92464,-1.372041275140366
92465,-0.8514282966605884
92466,-0.14774441242051436
92467,-0.8497442084621106
92468,-1.8443316693537732
92469,-0.773739201983715
92470,-1.354458549721907
92471,-1.1666435995624758
92472,-1.668487292994234
92473,0.14219423673363135
92474,0.5342134227980557
92475,0.3624974574306317
92476,-0.41075291621892157
92477,-0.7853187596661765
92478,4.083361159643985
92479,0.38033567297441356
92480,-1.0640593617931686
92481,0.3452537970620297
92482,-1.5034023991224768
92483,0.7791209182983313
92484,-0.13113644707425953
92485,-0.4186001641654396
92486,-0.053163891033156004
92487,-1.4603811443339068
92488,0.9704846327152498
92489,-1.1175319745405916
92490,-0.145019371477167
92491,-0.08684501118482275
92492,-0.9356143174998272
92493,0.3407151196819658
92494,-0.6686583694466283
92495,1.1389228017781414
92496,-0.12215862995894677
92497,-0.5587643000673894
92498,-0.0055866066544306234
92499,-0.8671784218927315
92500,0.10677904363277409
92501,0.755336846622628
92502,0.4231804796648416
92503,-0.6170760971340986
92504,-0.4955108227998973
92505,0.49654184732141776
92506,-0.4529458174087874
92507,0.530386288986049
92508,0.03708991777085851
92509,0.5305580684805621
92510,0.582239723586464
92511,2.8470809570999402
92512,-0.35943047998096406
92513,-1.365384963439659
92514,-0.48381962942667167
92515,1.3284192230076939
92516,0.8674109671741893
92517,1.21444915760324
92518,0.7577294633850993
92519,0.4085395543988362
92520,-0.6562996327243041
92521,0.7689556877521679
92522,1.1418689855651336
92523,0.8007201788702077
92524,0.646629285520032
92525,2.0445954720162263
92526,0.7785611805819895
92527,1.1516403918687
92528,0.3816115049340047
92529,0.509659941881924
92530,-0.3265477291504539
92531,1.3586377367319502
92532,-1.1427383918546228
92533,1.3026210521736439
92534,-0.0384431098925965
92535,-1.0818101991864133
92536,-0.4470537708705829
92537,0.26440227719436066
92538,-0.09278975980240922
92539,-0.2130560489212503
92540,-0.09485703942508522
92541,-0.20338799726892004
92542,-1.1920557839481107
92543,-0.6180188744953995
92544,0.5278095699030232
92545,-0.7085748801269042
92546,-0.7729998012612066
92547,-0.12941270569197733
92548,1.3451953768944316
92549,-0.13913400811163543
92550,0.7789684335670862
92551,-0.47070289904049156
92552,1.753506677470643
92553,0.8158747038588187
92554,-1.2257700557274716
92555,-0.9082480313980553
