Region,medDegree
31077,2.290214746014526
31078,2.3018568845647516
31079,1.408914396615702
31080,-1.0030552990200075
31081,-0.08014711800847328
31082,0.5208477343091569
31083,0.17162505649987045
31084,-0.36448914279320177
31085,-0.8422977868918168
31086,-1.0213571490802933
31087,1.0356722801410183
31088,-0.4808104849155007
31089,-0.5858308334900911
31090,-0.8441185412367604
31091,-1.3456544535525263
31092,-0.6555814601092868
31093,-0.5411293592102967
31094,-0.08369105701576171
31095,-0.15305350588065395
31096,0.8009195178801674
31097,-0.37742963577289
31098,-1.015713516193698
31099,-1.4443857795761474
31100,-1.1350085194306132
31101,1.494518761919731
31102,1.2591175066540041
31103,0.0983193216227816
31104,-0.013399164663767104
31105,0.03127588493837737
31106,0.5738707156816728
