ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,NUMPOINTS
57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,Département,Department,,,3
57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,Département,Department,,,3
57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,Département,Department,,,4
57,CIV,Côte d'Ivoire,10,Marahoué,24,Sinfra,Département,Department,,,2
57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,Département,Department,,,2
57,CIV,Côte d'Ivoire,11,Moyen-Cavally,26,Duékoué,Département,Department,,,3
57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,Département,Department,,,6
57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,Département,Department,,,23
57,CIV,Côte d'Ivoire,12,Moyen-Comoé,29,Agnibilékrou,Département,Department,,Agnibilekro,9
57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,Département,Department,,,4
57,CIV,Côte d'Ivoire,13,N'zi-Comoé,31,Daoukro,Département,Department,,,3
57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,Département,Department,,,4
57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,Département,Department,,M'bahiakro,3
57,CIV,Côte d'Ivoire,14,Savanes,34,Boundiali,Département,Department,,,4
57,CIV,Côte d'Ivoire,14,Savanes,35,Ferkessédougou,Département,Department,,,7
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,Département,Department,,,16
57,CIV,Côte d'Ivoire,14,Savanes,37,Tengréla,Département,Department,,Tingréla,1
57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,Département,Department,,,3
57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,Département,Department,,,1
57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,Département,Department,,,3
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,41,Béoumi,Département,Department,,,3
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,Département,Department,,,18
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,43,Dabakala,Département,Department,,,4
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,44,Katiola,Département,Department,,,6
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,45,Sakassou,Département,Department,,Sakasso,2
57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,Département,Department,,,8
57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,Département,Department,,,6
57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,Département,Department,,,13
57,CIV,Côte d'Ivoire,19,Zanzan,49,Bouna,Département,Department,,,5
57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,Département,Department,,,10
57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,Département,Department,,,7
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,Département,Department,,,11
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,5,Sassandra,Département,Department,,,4
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,Département,Department,,,13
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,7,Tabou,Département,Department,,,5
57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,Département,Department,,,8
57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,10,Biankouma,Département,Department,,,2
57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,11,Danané,Département,Department,,,7
57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,12,Man,Département,Department,,,9
57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,9,Bangolo,Département,Department,,,2
57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,Département,Department,,,6
57,CIV,Côte d'Ivoire,6,Fromager,14,Oumé,Département,Department,,,2
57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,Département,Department,,,8
57,CIV,Côte d'Ivoire,7,Haut-Sassandra,16,Issia,Département,Department,,,4
57,CIV,Côte d'Ivoire,7,Haut-Sassandra,17,Vavoua,Département,Department,,,3
57,CIV,Côte d'Ivoire,8,Lacs,18,Toumodi,Département,Department,,,2
57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,Département,Department,,,10
57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,Département,Department,,,55
57,CIV,Côte d'Ivoire,9,Lagunes,21,Grand-Lahou,Département,Department,,,1
57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,Département,Department,,,1
