CT,lon,lat,O_Area_km2,ID_3,P_Area_km2
770,-16.37053,12.77225,85.75917,92550,79.898
770,-16.37053,12.77225,85.75917,92551,5.86117
86,-17.46392,14.75995,0.38304,92463,0.38304
1020,-15.92071,15.67844,415.35843,92511,402.56435
1020,-15.92071,15.67844,415.35843,92512,12.79409
187,-17.44614,14.71231,0.19819,92463,0.19819
927,-16.06102,14.54753,76.01772,92482,1.33116
927,-16.06102,14.54753,76.01772,92470,56.42533
927,-16.06102,14.54753,76.01772,92471,18.26123
948,-16.05291,12.62244,84.56134,92551,24.24907
948,-16.05291,12.62244,84.56134,92554,60.31227
93,-17.46136,14.73321,0.28784,92463,0.28784
350,-17.38042,14.76192,0.29701,92464,0.29701
1147,-15.61915,16.52428,36.25143,92519,36.25143
553,-16.93477,14.78508,0.50894,92542,0.50894
304,-17.41297,14.77007,0.22575,92464,0.22575
114,-17.45615,14.70786,0.14514,92463,0.14514
70,-17.46581,14.69941,0.28434,92463,0.28434
242,-17.4361,14.66744,0.07044,92463,0.07044
1349,-14.48744,13.07357,636.99532,92493,100.12286
1349,-14.48744,13.07357,636.99532,92495,536.87246
769,-16.33767,12.6833,89.36264,92550,26.71709
769,-16.33767,12.6833,89.36264,92551,62.64556
644,-16.72534,15.42581,253.23394,92505,178.52815
644,-16.72534,15.42581,253.23394,92544,74.70578
1048,-15.87464,14.85247,0.66813,92472,0.66813
1617,-12.26831,12.7858,186.92201,92530,186.92201
667,-16.59111,14.30894,117.11503,92474,83.19421
667,-16.59111,14.30894,117.11503,92476,33.92083
883,-16.18996,15.42218,192.58711,92506,74.88455
883,-16.18996,15.42218,192.58711,92512,25.10834
883,-16.18996,15.42218,192.58711,92513,92.59422
85,-17.46293,14.69285,0.24795,92463,0.24795
1180,-15.49381,13.32117,195.57763,92496,195.57763
372,-17.36933,14.79092,1.14177,92464,1.14177
1492,-13.56098,13.84942,133.99299,92535,74.90667
1492,-13.56098,13.84942,133.99299,92537,6.16901
1492,-13.56098,13.84942,133.99299,92528,52.91731
725,-16.47509,14.84969,85.45885,92466,4.39371
725,-16.47509,14.84969,85.45885,92467,81.06514
343,-17.38559,14.76293,0.25059,92464,0.25059
128,-17.4551,14.69373,0.2364,92463,0.2364
1377,-14.36749,16.3067,592.99627,92522,560.14298
1377,-14.36749,16.3067,592.99627,92523,32.85329
1256,-15.08335,16.18578,640.59843,92523,67.58702
1256,-15.08335,16.18578,640.59843,92525,573.01141
716,-16.48639,16.00521,2.1217,92520,2.1217
710,-16.50151,15.9786,19.65956,92520,19.65956
24,-17.48697,14.72432,0.30252,92463,0.30252
438,-17.2886,14.71707,0.55188,92465,0.55188
230,-17.4363,14.67578,0.15676,92463,0.15676
1105,-15.73249,12.45952,89.68765,92497,89.68765
567,-16.91849,14.78878,0.9687,92542,0.9687
905,-16.16615,15.76881,196.17024,92514,185.99534
905,-16.16615,15.76881,196.17024,92513,10.1749
857,-16.21795,12.79059,77.09846,92551,77.09846
448,-17.27685,14.7178,0.58671,92465,0.58671
1202,-15.43446,15.6436,320.23489,92510,320.23489
231,-17.43925,14.73579,0.25601,92463,0.25601
718,-16.47658,15.98839,18.96314,92520,18.96314
1517,-13.3242,15.61638,28.76404,92516,28.76404
1403,-14.15835,16.26025,131.51583,92522,131.51583
279,-17.42571,14.76877,0.26911,92464,0.26911
83,-17.4623,14.7493,0.28305,92463,0.28305
1052,-15.86826,13.63818,88.93953,92491,63.96539
1052,-15.86826,13.63818,88.93953,92492,24.97414
197,-17.44213,14.66651,0.10413,92463,0.10413
452,-17.27184,14.7223,0.48096,92465,0.48096
369,-17.37042,14.76055,0.36042,92464,0.36042
1555,-12.94766,13.8399,631.92938,92526,631.92938
88,-17.46355,14.73811,0.22952,92463,0.22952
979,-16.00073,16.13368,289.18965,92521,229.4237
979,-16.00073,16.13368,289.18965,92511,59.76595
998,-15.91425,14.83752,8.64942,92472,8.64942
529,-16.97188,14.802,13.95543,92542,13.14396
529,-16.97188,14.802,13.95543,92547,0.81147
447,-17.28447,14.76146,3.4538,92465,3.4538
1382,-14.3047,13.62418,302.74906,92534,50.37309
1382,-14.3047,13.62418,302.74906,92536,252.37597
996,-15.95078,14.50886,109.97192,92480,0.31981
996,-15.95078,14.50886,109.97192,92482,77.11238
996,-15.95078,14.50886,109.97192,92471,32.53973
1666,-11.37331,12.46543,65.9133,92531,65.9133
683,-16.53084,14.80501,69.89802,92467,69.89802
985,-15.95001,15.03373,122.34434,92504,114.18436
985,-15.95001,15.03373,122.34434,92472,8.15998
1348,-14.53023,13.94936,165.2468,92534,165.2468
409,-17.3333,14.73499,1.26247,92464,1.26247
566,-16.92215,14.79683,0.95502,92542,0.95502
466,-17.25666,14.75824,7.77167,92465,7.77167
1433,-13.8767,15.77101,1039.32725,92516,438.16051
1433,-13.8767,15.77101,1039.32725,92518,593.05138
1433,-13.8767,15.77101,1039.32725,92524,8.11537
830,-16.23992,12.57417,40.97979,92551,0.98911
830,-16.23992,12.57417,40.97979,92554,39.99069
632,-16.71098,14.67991,86.79861,92538,8.25004
632,-16.71098,14.67991,86.79861,92541,11.40703
632,-16.71098,14.67991,86.79861,92543,67.14154
995,-15.95152,13.61177,58.43191,92492,58.43191
51,-17.47162,14.75037,0.18857,92463,0.18857
1660,-11.50313,12.96697,336.50283,92533,336.50283
572,-16.90263,14.79928,16.99037,92542,16.99037
1583,-12.5898,13.37718,879.81338,92533,13.17199
1583,-12.5898,13.37718,879.81338,92537,705.33678
1583,-12.5898,13.37718,879.81338,92526,156.37312
1583,-12.5898,13.37718,879.81338,92530,4.9315
982,-15.94588,12.58119,107.71405,92497,34.57099
982,-15.94588,12.58119,107.71405,92498,30.86689
982,-15.94588,12.58119,107.71405,92554,42.27617
82,-17.46355,14.68095,0.40341,92463,0.40341
729,-16.44874,14.11575,66.68043,92474,20.6746
729,-16.44874,14.11575,66.68043,92477,46.00584
562,-16.92695,14.80137,0.58257,92542,0.58257
721,-16.48461,16.02956,3.20791,92520,3.20791
871,-16.22332,15.61972,1.48042,92513,1.48042
239,-17.43704,14.72979,0.39822,92463,0.39822
1562,-12.7709,14.2871,565.95943,92528,565.95943
1491,-13.59729,13.39658,393.02134,92501,4.26891
1491,-13.59729,13.39658,393.02134,92537,388.75244
827,-16.25731,13.97338,64.59512,92488,4.36077
827,-16.25731,13.97338,64.59512,92477,60.23435
1314,-14.80066,13.98958,87.99554,92484,87.99554
270,-17.42791,14.72412,0.45322,92463,0.45322
1462,-13.67288,15.99739,83.24777,92518,83.24777
635,-16.71214,14.27072,87.56048,92540,5.71882
635,-16.71214,14.27072,87.56048,92474,81.84166
1488,-13.56682,13.62462,184.34459,92537,184.34459
1139,-15.62696,13.18014,144.87409,92496,144.87409
1285,-14.92527,12.92779,116.25354,92494,53.7576
1285,-14.92527,12.92779,116.25354,92495,62.49593
204,-17.44274,14.71537,0.38094,92463,0.38094
63,-17.46855,14.74889,0.09485,92463,0.09485
1236,-15.20624,12.92855,360.55588,92498,254.71499
1236,-15.20624,12.92855,360.55588,92494,24.91296
1236,-15.20624,12.92855,360.55588,92495,17.0735
1236,-15.20624,12.92855,360.55588,92496,63.85443
1521,-13.27074,14.11254,1283.71376,92526,22.39177
1521,-13.27074,14.11254,1283.71376,92528,1261.32199
1602,-12.39194,14.83714,23.05854,92527,23.05854
