Admin_3_Region,Total_Participants,No_Antenatal_Care,Median_Antenatal_Visits
1,21,0,0
4,41,0,0
6,66,0,0
8,21,0,0
9,39,18,0
12,26,14,0
13,25,1,0
15,137,14,0
16,45,0,0
17,240,6,0
19,88,6,0
20,81,4,0
21,39,3,0
22,69,3,0
23,124,5,0
24,50,4,0
25,82,8,0
27,27,5,0
30,40,7,0
31,39,4,0
32,95,8,0
34,44,14,0
37,30,10,0
38,56,2,0
39,49,10,0
42,32,0,0
43,87,1,0
44,75,0,0
45,64,2,0
46,27,0,0
47,28,1,0
48,90,1,0
49,30,1,0
50,97,1,0
51,26,1,0
52,27,0,0
53,58,2,0
55,26,3,0
56,198,3,0
58,23,4,0
59,51,0,0
60,38,0,0
61,77,10,0
63,68,4,0
64,30,0,0
66,63,5,0
67,238,4,0
68,1400,10,0
69,51,2,0
70,24,1,0
71,80,1,0
72,13,1,0
73,18,0,0
74,34,0,0
75,39,1,0
76,29,0,0
78,40,1,0
79,26,1,0
81,58,4,0
82,46,1,0
83,71,6,0
85,46,6,0
86,114,6,0
87,64,3,0
88,49,0,0
89,23,0,0
90,36,1,0
91,464,10,0
92,89,1,0
93,110,2,0
94,192,4,0
95,27,4,0
96,39,0,0
98,18,1,0
99,21,1,0
100,24,1,0
101,40,3,0
102,22,0,0
103,78,0,0
104,31,0,0
105,42,15,0
106,22,0,0
107,61,6,0
110,24,1,0
111,36,4,0
112,32,9,0
113,80,8,0
114,22,11,0
116,26,3,0
117,24,1,0
119,23,0,0
120,24,0,0
122,207,7,0
123,28,8,0
124,51,2,0
125,32,5,0
126,29,2,0
127,27,8,0
128,36,0,0
130,40,0,0
131,25,1,0
132,28,2,0
133,25,4,0
135,21,0,0
138,22,1,0
139,29,0,0
140,13,0,0
142,60,0,0
143,47,0,0
145,437,5,0
147,26,1,0
150,39,2,0
151,47,4,0
153,17,1,0
156,75,1,0
157,31,2,0
158,31,0,0
159,49,0,0
160,84,0,0
161,38,9,0
162,43,5,0
164,76,8,0
165,54,4,0
166,159,12,0
169,37,0,0
171,56,18,0
172,86,11,0
173,47,2,0
175,272,5,0
176,50,7,0
177,84,9,0
178,18,1,0
179,37,0,0
181,25,0,0
182,58,1,0
183,69,0,0
184,63,0,0
185,48,0,0
