Region,normalised_entropy
1,0.7428607340455142
2,1.0203474248002493
3,-0.16632552073855314
4,0.2784269789278909
5,-0.35683685072677157
6,0.40548431918705435
7,0.43571333110059385
8,0.03868841589099636
9,-0.3234283089359719
10,0.014283225904735524
11,-3.218609838974543
12,0.40312703641183417
13,-1.1736050143213284
14,-0.31929658372969183
15,0.3342877178211736
16,-0.09292589966194732
17,0.16222387463122423
18,-1.0223459752931803
19,0.36770826694697367
20,-0.4610933532656607
21,-0.09359068938668522
22,0.017462661289862014
23,-0.028944773829533824
24,0.1028186725911406
25,0.20728476775349725
26,1.1446811556935836
27,-3.218609838974543
28,0.4835076432855952
29,0.4192070542246907
30,0.007014918796553666
31,-0.2938212828959919
32,0.832264834877415
33,-1.4493996194301846
34,0.5645653930676183
35,-3.218609838974543
36,-3.218609838974543
37,0.42613855883060703
38,0.35903811491708226
39,-0.36067537226572155
40,-3.218609838974543
41,0.2518616957147983
42,1.047781482616399
43,0.19411229441506594
44,-0.5201218850116889
45,-0.5940760548000682
46,0.13748147231347482
47,0.4451440002608926
48,0.35023612911042
49,-0.13358729033026662
50,0.14692338385237072
51,0.4107541558547841
52,0.34425708606661
53,-0.0011917437165245963
54,-0.08768380693679202
55,0.2299884269926803
56,0.1581826321285502
57,0.6731359991477017
58,0.5902164927315445
59,0.04812892016729039
60,0.5267795247841661
61,-0.10366049904746921
62,0.7145133706582746
63,0.5625115461419464
64,1.0509793513335997
65,0.11572574109035716
66,0.468849145688425
67,0.2948140872668097
68,0.525464713158479
69,0.7376816634186009
70,1.0954257657870803
71,0.6814073989061715
72,0.5152848125678624
73,0.4240251401737905
74,0.14288086404699157
75,1.110920686580703
76,-0.3141221442504741
77,0.7175296755178963
78,0.6176714920263482
79,1.2934870332522366
80,0.6956862669511488
81,0.4899889472826706
82,0.12461323952535658
83,0.26631544523723116
84,0.06655356462520234
85,-0.08763530182860492
86,0.017924945372200612
87,0.5112421015851378
88,0.43578657999210524
89,0.5354805929267581
90,-0.11764874213038123
91,0.20358775936491882
92,0.2224932006755098
93,-0.1062732594946554
94,-0.1670354824884898
95,-0.020777055729624676
96,0.26880449289413877
97,0.25109196299718467
98,2.2825580368003267
99,0.04558310573021312
100,0.28811533858194643
101,0.6736161219620579
102,0.7366105480908229
103,-0.048437674659452215
104,0.25196184484601697
105,1.321576743211134
106,0.1166205510120592
107,0.34769272692321035
108,-0.23556666160570347
109,0.8441447462185738
110,1.241114951687461
111,-0.6831617144927095
112,1.2921610586510164
113,-0.44534562327597693
114,0.24646863233224192
115,-3.218609838974543
116,-0.5426319218213074
117,-0.6836934587035984
118,-0.33672902113239567
119,-0.28058348614330086
120,-3.218609838974543
121,-3.218609838974543
122,0.01366228733417819
123,0.5773928679059424
124,-0.034235770208953874
125,0.8142883593095422
126,-0.3698561947484361
127,0.6057798510371362
128,-3.218609838974543
129,-0.30853977444560754
130,0.6825691576046423
131,0.44599417315720524
132,-0.17768907205888215
133,0.23187526630430205
134,-0.5392407250250413
135,0.8001714595132561
136,1.286169652523088
137,0.3244862458963761
138,1.0054103551985678
139,-0.48060592120808315
140,-0.4006135574284227
141,0.45432182098421914
142,0.543518935099332
143,-0.5431130698000215
144,0.9971389376381155
145,0.23296510858059855
146,1.21393518282872
147,-0.18045036549053997
148,0.613369230801077
149,-0.5191041989506089
150,-0.2072536086647094
151,0.8568227731065322
152,-3.218609838974543
153,-1.345560232534254
154,-0.729532991271129
155,-0.03267874514326878
156,0.019099517972972175
157,1.8347732899998561
158,-0.332763172412546
159,-1.367221790131048
160,0.5424438659619704
161,-0.33068655113923634
162,-0.5737841663597933
163,0.5998271902882721
164,-0.26911143594192366
165,0.05554345471692251
166,0.3203854146838497
167,-0.44095857665434646
168,0.2047890902042716
169,-0.33881594756476
170,0.48540967827124526
171,-0.6138385610522272
172,0.25441802242324285
173,-0.6790069758602424
174,1.3321481739329977
175,-0.07089638738191943
176,0.618338799313099
177,1.414403155159044
178,-2.003522177441959
179,-0.2893852812385809
180,-3.218609838974543
181,0.28986051736337093
182,-0.1474169877043288
183,0.6262552434358285
184,-0.1765466978951494
185,1.0927373677621814
