Region,medDegree
1,-0.8058210691957977
2,-0.18912502754550475
3,-0.821340378843072
4,1.763923625709754
5,1.1066585270917522
6,1.5256523672243503
7,1.6710736414107996
8,-2.5752799341167103
9,0.4365484214505432
10,-0.22631824481186652
11,0.11996028679581819
12,0.7610645897969391
13,-0.056765830534148014
14,0.9724729866129039
15,0.4094005041093685
16,0.1363078152102024
17,0.09456206288669577
18,0.656842279167
19,0.7273870538380625
20,0.7430712969927926
21,-0.5625376808250376
22,-0.11253856350249052
23,0.5029240831026266
24,0.9937933956469469
25,-0.7562340238922649
26,0.1926031104993786
27,0.9771106739718212
28,1.3980817805624288
29,0.4800559017916598
30,0.027840584061328076
31,0.6542182628197949
32,-0.6004337457517759
33,-0.034288212129670634
34,-1.9603314088128974
35,-1.589820398568772
36,0.7572633337173074
37,-1.2974082459964325
38,-0.6616774217705464
39,0.3305871088029824
40,-0.32321513928518286
41,0.05691063343252082
42,2.159153445796589
43,-1.700276514447429
44,-0.9985968000128705
45,0.4009370544875156
46,-1.144776477079415
47,-1.314797017672782
48,-0.5157939426136204
49,-0.8135253973244163
50,-0.9955033522571812
