Region,Activity
1,-0.050009744209699954
2,-0.006941227912561288
3,-0.5140350815003428
4,1.0531194127614008
5,0.12917415534944868
6,1.4184560409409812
7,-0.1590182125751416
8,-0.7363883142094588
9,-0.7111785852197999
10,-0.632958667321563
11,-0.258416857272388
12,0.05227410642212613
13,0.32894160090723346
14,0.10542880915993655
15,0.5840384480325033
16,0.066023188949819
17,-0.05730821500843048
18,-0.09875246878128371
19,0.9954426513491169
20,6.015019640558504
21,-0.6666084876611632
22,-0.27410031997400863
23,0.12525169991745577
24,-0.25933799637401306
25,-0.4198189116384372
26,-0.24353901552719734
27,0.14393674826624472
28,0.6539873552571407
29,-0.2938490605220139
30,0.14461061663722655
31,-0.2592782583253945
32,-0.3049013933237723
33,-0.5390649180357125
34,-0.7050874957914286
35,-0.35898430399545933
36,0.097262639471529
37,-0.9501780898244698
38,0.34246690040183997
39,-0.3572940734307765
40,0.485440202389475
41,-0.5908944404689417
42,0.8507557025432166
43,-0.8160531597765628
44,-0.5005870178090431
45,-0.6241311490990792
46,-0.4587394851804063
47,-0.4919309060670737
48,-0.19057340399108416
49,-0.7633059433154634
50,-0.2983647151730275
