Region,Care_Pop_Count
1,0.053536699459208505
2,-0.22807182119134356
3,-0.7950892011335506
4,0.4979693160915021
5,-0.6160329808462459
6,-0.10393393328712393
7,-0.28414399932088386
8,-0.9493503609360727
9,0.12060551175649639
10,-0.6528761635585286
11,0.510388673413183
12,0.6167842294240402
13,0.37011753439717227
14,-0.1300812959976899
15,0.5888333387865734
16,-0.022162603733167054
17,-0.6626614445573058
18,0.0035267433575133793
19,0.7284100780133707
20,3.9908348858432627
21,-0.1886535751150715
22,-0.4883819288897559
23,-0.5697025306813001
24,0.04800723839300156
25,-0.48925203671708745
26,0.22163534266556215
27,-0.17149854987740393
28,2.609551684754703
29,2.114966656650562
30,-0.414838954394773
31,-0.6422492881615599
32,-0.3574236543663537
33,-0.9265702433942878
34,-0.760732087729613
35,-1.1066095045332958
36,0.35176027394943066
37,-0.47003412924882926
38,-0.9461555987329595
39,-0.5813347858256585
40,-0.6722356074898155
41,0.11863045462695516
42,2.43368979549105
43,-1.2069248602331375
44,-0.9405351108081773
45,0.6245180200782131
46,-0.030942711537096646
47,-0.5948340825346691
48,0.48930354563676903
49,-1.2997259793970914
50,0.809969001441302
